Year,Black,Latino,Asian,White,American Indian
1924,0,0,1,7,0
1925,1,0,0,7,0
1926,1,0,0,7,0
1927,0,0,0,8,0
1928,0,0,0,8,0
1929,0,1,0,7,0
1930,0,1,0,7,0
1931,0,1,0,7,0
1932,0,2,0,6,0
1933,0,2,0,6,0
1934,0,1,0,7,0
1935,1,1,0,6,0
1936,1,1,0,6,0
1937,3,0,0,5,0
1938,4,1,0,3,0
1939,2,0,2,4,0
1940,1,0,0,7,0
1941,2,0,0,6,0
1942,2,1,0,5,0
1943,2,1,0,5,0
1944,2,1,0,5,0
1945,1,1,0,6,0
1946,3,1,0,4,0
1947,3,1,0,4,0
1948,4,1,0,3,0
1949,3,1,0,4,0
1950,4,0,1,3,0
1951,4,1,1,2,0
1952,4,1,1,2,0
1953,3,1,1,3,0
1954,4,1,0,3,0
1955,4,1,0,3,0
1956,5,1,0,2,0
1957,5,1,0,2,0
1958,6,1,0,1,0
1959,5,2,0,1,0
1960,4,2,1,1,0
1961,4,2,1,1,0
1962,5,2,1,0,0
1963,2,3,1,2,0
1964,2,3,1,2,0
1965,3,3,1,1,0
1966,4,2,2,0,0
1967,4,1,3,0,0
1968,4,2,1,1,0
1969,2,4,0,2,0
1970,2,2,2,2,0
1971,2,3,2,1,0
1972,2,5,1,0,0
1973,2,5,0,1,0
1974,2,5,1,0,0
1975,1,6,0,1,0
1976,1,7,0,0,0
1977,1,6,0,0,1
1978,1,5,0,1,1
1979,3,2,1,1,1
1980,6,1,1,0,0
1981,5,3,0,0,0
1982,5,3,0,0,0
1983,5,1,1,1,0
1984,5,2,1,0,0
1985,5,1,1,1,0
1986,4,3,1,0,0
1987,3,4,1,0,0
1988,4,3,1,0,0
1989,4,2,1,0,1
1990,4,2,1,0,1
1991,5,1,1,1,0
1992,4,2,0,2,0
1993,4,2,0,1,1
1994,4,2,0,1,1
1995,4,1,0,3,0
1996,5,0,0,2,1
1997,5,1,1,1,0
1998,5,1,2,0,0
1999,5,1,2,0,0
2000,4,3,1,0,0
2001,5,3,0,0,0
2002,6,2,0,0,0
2003,5,1,2,0,0
2004,3,2,2,1,0
2005,4,3,1,0,0
2006,3,2,2,1,0
2007,2,1,3,2,0
2008,0,2,3,3,0
2009,1,1,4,2,0
2010,1,4,2,1,0
2011,1,3,3,1,0